trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
74,False,"{'a': 0.9286716938412872, 'e': 0.4801414565714212}",35,12,-25.366484769998642,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 0}",1
75,False,"{'a': 0.9277434863285529, 'e': 0.47534004200570695}",30,0,-1.1070204931883558,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",0
76,False,"{'a': 0.9268162065593822, 'e': 0.4705866415856499}",25,0,-40.92602930215207,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
77,False,"{'a': 0.9258898536064953, 'e': 0.46588077516979337}",20,15,12.075427172655411,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.9249644265435393, 'e': 0.46122196741809546}",20,0,-39.69423240856396,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
79,False,"{'a': 0.9240399244450868, 'e': 0.4566097477439145}",20,11,8.25103132544058,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.9231163463866358, 'e': 0.45204365026647536}",30,20,5.257889440133839,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.922193691444608, 'e': 0.4475232137638106}",20,9,4.590543367552502,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.9212719586963487, 'e': 0.4430479816261725}",20,16,7.117411841369803,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.9203511472201247, 'e': 0.43861750180991077}",25,4,-7.270349606054938,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 0}",1
84,False,"{'a': 0.9194312560951247, 'e': 0.43423132679181164}",20,0,-26.710373437713326,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
85,False,"{'a': 0.9185122844014574, 'e': 0.4298890135238935}",25,0,-53.3909991469187,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
86,False,"{'a': 0.9175942312201509, 'e': 0.4255901233886546}",20,9,-25.060984338298432,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
87,False,"{'a': 0.9166770956331523, 'e': 0.421334222154768}",25,0,-119.41270379486221,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
88,False,"{'a': 0.9157608767233256, 'e': 0.41712087993322033}",25,2,29.976601042239682,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.9148455735744521, 'e': 0.41294967113388814}",30,11,-51.92671915886904,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 1}",1
90,False,"{'a': 0.9139311852712282, 'e': 0.40882017442254925}",30,13,4.9191567668619225,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
91,False,"{'a': 0.9130177108992658, 'e': 0.4047319726783238}",25,9,12.673596299253477,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.9121051495450904, 'e': 0.40068465295154054}",20,14,10.604075231793368,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.9111935002961405, 'e': 0.3966778064220251}",20,0,-9.06475034547021,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
94,False,"{'a': 0.910282762240767, 'e': 0.39271102835780486}",20,5,-24.762640922928696,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
95,False,"{'a': 0.9093729344682314, 'e': 0.3887839180742268}",30,0,-80.46639984488864,"{0: 24, 1: 2, 2: 2, 3: 0, 4: 2}",0
96,False,"{'a': 0.9084640160687062, 'e': 0.38489607889348454}",25,0,-52.967890572493154,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
97,False,"{'a': 0.9075560061332727, 'e': 0.38104711810454966}",20,0,-32.637957958398275,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
98,False,"{'a': 0.9066489037539209, 'e': 0.37723664692350417}",20,12,12.184013897168288,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.9057427080235485, 'e': 0.37346428045426916}",25,15,15.46636549288292,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.9048374180359595, 'e': 0.36972963764972644}",20,7,-84.01274829602018,"{0: 7, 1: 1, 2: 3, 3: 1, 4: 1}",1
101,False,"{'a': 0.9039330328858641, 'e': 0.3660323412732292}",25,3,-20.607828107333322,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 0}",1
102,False,"{'a': 0.9030295516688768, 'e': 0.3623720178604969}",20,6,-22.970554717805424,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
103,False,"{'a': 0.9021269734815165, 'e': 0.3587482976818919}",20,0,5.711100131749394,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
104,False,"{'a': 0.9012252974212048, 'e': 0.355160814705073}",25,17,12.649166289127361,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.9003245225862656, 'e': 0.35160920655802225}",20,16,8.418859085962417,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
